NPD_WELL_BORE_NAME,NPD_FIELD_NAME,Predicted Production,Pressure Score,Pressure Status,Well Health Score,Operational Status,Recommendation
15/9-F-1 C,VOLVE,0.20598333333333332,-0.016338902865804306,-1,1.9646494342672243,Critical,"Immediate inspection recommended. Check tubing, pressure sensors and production equipment."
15/9-F-1 C,VOLVE,0.0,0.06722669161589812,1,72.14237069249371,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,0.0,0.07381843331058191,1,72.94520001466663,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,0.0,0.07461149751535534,1,73.04178984288627,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,0.0,0.04658724803956504,1,69.62862678930391,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.037226702658100574,1,68.48857600275221,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.03542488989952164,1,68.26912745900556,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.027903308405259786,1,67.35304997108206,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.03127241447897133,1,67.76338418482528,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.028460285622490256,1,67.42088600933816,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.046122196702409024,1,69.57198669825092,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.0,0.0471464815239363,1,69.69673762555774,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,0.5382888888888888,0.046298371254034576,1,9.5934435608552,Critical,"Immediate inspection recommended. Check tubing, pressure sensors and production equipment."
15/9-F-1 C,VOLVE,0.0,0.027995196947700474,1,67.36424137081525,Warning,Inspect pressure system and choke settings.
15/9-F-1 C,VOLVE,271.5236594967531,0.060869086336890144,1,11.368057593892583,Critical,"Immediate inspection recommended. Check tubing, pressure sensors and production equipment."
15/9-F-1 C,VOLVE,549.2253576480466,0.11408333710395324,1,70.03460251413154,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,1150.52692605305,0.17848335527045944,1,84.87311549851964,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,1252.51342105305,0.18542895691765315,1,75.02893744348229,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,1283.1056256776556,0.18387030393159737,1,84.69558028241013,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,1345.8247838919413,0.1823865570526127,1,86.16606271191013,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,1337.4314703375196,0.17748054693589171,1,85.0313191627898,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,1315.8409945637097,0.18540747144901942,1,85.20860282185518,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,1291.697444427656,0.19027171907298362,1,86.55454616304078,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,1242.1723236935288,0.18583706829461388,1,85.77799221951388,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,1126.8863665079364,0.1828190574728999,1,81.96579390441181,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,1050.4950819083692,0.18191992163100695,1,84.79591676261538,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,1030.4884239321782,0.18328619292367615,1,85.49145942274373,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,974.2774732323228,0.17285079062417896,1,84.7545049831591,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,898.4167281836213,0.17676918681206827,1,82.45870809984872,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,999.5203113528139,0.19203215163663923,1,87.14480627043079,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,921.4015921158004,0.19837834196795517,1,87.8623166109129,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,898.1121056972189,0.20045998807918464,1,87.33534337959833,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,321.0025349801588,0.15997396467447367,1,34.50084638226187,Critical,"Immediate inspection recommended. Check tubing, pressure sensors and production equipment."
15/9-F-1 C,VOLVE,929.3934563672432,0.19327416672141517,1,86.55382715123442,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,856.4363055806695,0.18522283225013997,1,84.10694717336543,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,805.3942218886488,0.19101570420006853,1,84.38024676811554,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,762.0782750418846,0.1987006366929962,1,86.43160092784657,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,730.2514305670641,0.20427638915196827,1,87.403036842051,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,730.0584200595238,0.2027484179747861,1,87.53713046086436,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,726.4239324206349,0.1968414701683267,1,87.1406711969102,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,759.0984343387086,0.19838006839618294,1,86.29333876975426,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,808.9551341243578,0.188280570035595,1,85.03670802693583,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,793.5860798758358,0.19215324461552868,1,86.99352276296746,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,783.7553873758359,0.19911376322469765,1,88.15203702854812,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,636.7410930158726,0.20183481714624874,1,79.9026926242835,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,754.2826486698364,0.200147354428325,1,86.79143825354393,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,673.8779203192638,0.1892745188202311,1,81.43316021317983,Monitor,Increase monitoring frequency.
15/9-F-1 C,VOLVE,749.0596481885545,0.19017079595837633,1,86.91362064044426,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,745.3176692329268,0.17824410258234674,1,85.24366919626618,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,735.7183738605295,0.1808142207672132,1,85.27873142443012,Healthy,Continue normal operation.
15/9-F-1 C,VOLVE,717.321547448569,0.1875450248621438,1,86.64357534607527,Healthy,Continue normal operation.
